did,name,version,uploader,status,format,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures
535,analcatdata_chlamydia,1,2,active,ARFF,,10.0,,0.0,4.0,100.0,0.0,0.0,1.0,3.0
536,arsenic-male-lung,1,2,active,ARFF,,43.0,,0.0,5.0,559.0,0.0,0.0,4.0,1.0
537,houses,1,2,active,ARFF,,,,0.0,9.0,20640.0,0.0,0.0,9.0,0.0
538,colleges_usnews,1,2,active,ARFF,,,,,,,,,,
539,analcatdata_galapagos,1,2,active,ARFF,,,,0.0,7.0,30.0,6.0,6.0,7.0,0.0
540,mu284,1,2,active,ARFF,,,,0.0,10.0,284.0,0.0,0.0,10.0,0.0
541,socmob,1,2,active,ARFF,,17.0,,0.0,6.0,1156.0,0.0,0.0,2.0,4.0
542,pollution,1,2,active,ARFF,,,,0.0,16.0,60.0,0.0,0.0,16.0,0.0
543,boston_corrected,1,2,active,ARFF,,92.0,,0.0,21.0,506.0,0.0,0.0,18.0,3.0
544,transplant,1,2,active,ARFF,,,,0.0,3.0,131.0,0.0,0.0,3.0,0.0
545,lmpavw,1,2,active,ARFF,,,,0.0,1.0,6875.0,0.0,0.0,1.0,0.0
546,sensory,1,2,active,ARFF,,6.0,,0.0,12.0,576.0,0.0,0.0,1.0,11.0
547,no2,1,2,active,ARFF,,,,0.0,8.0,500.0,0.0,0.0,8.0,0.0
549,strikes,1,2,active,ARFF,,,,0.0,7.0,625.0,0.0,0.0,7.0,0.0
550,quake,2,2,active,ARFF,,,,0.0,4.0,2178.0,0.0,0.0,4.0,0.0
551,analcatdata_michiganacc,1,2,active,ARFF,,12.0,,0.0,4.0,108.0,0.0,0.0,2.0,2.0
552,detroit,2,2,active,ARFF,,,,0.0,14.0,13.0,0.0,0.0,14.0,0.0
553,kidney,1,2,active,ARFF,,4.0,,0.0,7.0,76.0,0.0,0.0,4.0,3.0
554,mnist_784,1,2,active,ARFF,7877.0,10.0,6313.0,10.0,785.0,70000.0,0.0,0.0,784.0,1.0
555,analcatdata_apnea3,1,2,active,ARFF,,5.0,,0.0,4.0,450.0,0.0,0.0,2.0,2.0
556,analcatdata_apnea2,1,2,active,ARFF,,5.0,,0.0,4.0,475.0,0.0,0.0,2.0,2.0
557,analcatdata_apnea1,1,2,active,ARFF,,5.0,,0.0,4.0,475.0,0.0,0.0,2.0,2.0
558,bank32nh,1,2,active,ARFF,,,,0.0,33.0,8192.0,0.0,0.0,33.0,0.0
559,schlvote,1,2,active,ARFF,,,,,,,,,,
560,bodyfat,1,2,active,ARFF,,,,0.0,15.0,252.0,0.0,0.0,15.0,0.0
561,cpu,1,2,active,ARFF,,30.0,,0.0,8.0,209.0,0.0,0.0,7.0,1.0
562,cpu_small,2,2,active,ARFF,,,,0.0,13.0,8192.0,0.0,0.0,13.0,0.0
563,kdd_el_nino-small,1,2,active,ARFF,,,,,,,,,,
